id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1.40002E+18,Wed Jun 02 09:13:02 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@jntexpressid Itu tuh min https://t.co/84JyOa4BFP,tuh min,in,0,0,billytebe,FALSE,,jntexpressid,,
1.40002E+18,Wed Jun 02 09:12:10 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@billytebe halo ka, boleh minta nomor resinya disini untuk mimin bantu follow up terlebih dahulu, terima kasih :)",halo kakak nomor resinya disini mimin bantu follow up terima kasih,in,0,0,jntexpressid,,,billytebe,Indonesia,
1.40002E+18,Wed Jun 02 09:06:38 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jadi ceritanya habis kirim paket pake @jntexpressid trs uda bayar, dpt no resi, uda kirim ke penerima, eh sampe sana penerima disuruh bayar. Ini gimana sih harusnya? Selama ini ngga pernah gitu padahal.. huhuhuhuu https://t.co/ijEnfFN9fj",ceritanya habis kirim paket pakai uda bayar resi uda kirim penerima eh penerima disuruh bayar sih tidak huhuhuhuu,in,0,0,billytebe,FALSE,,jntexpressid,,
1.40001E+18,Wed Jun 02 08:58:36 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@jntexpressid Bisa tolong bantu? @jntexpressid ini ada cust yg beli pake cod tp ga bayar jd paket balik lagi ke saya, tp return nya gajelas skrng barangnya kmna? Rugi saya kalo barang ga balik tolong di bantu https://t.co/KmzzlcPZ7H",bantu cust beli pakai cod ga bayar paket return nya gajelas skrng barangnya kmna rugi barang ga bantu,in,0,0,HaruHarujoa,FALSE,,"jntexpressid, jntexpressid",,
1.40001E+18,Wed Jun 02 08:54:08 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@jntexpressid Sore, min mau tanya tadi siang saya anter 2 paket shopeee. cuman yg satu status dishopeeenya blm berubah sedangkan yang satunya sudah berubah, bisa dibantu?_Ÿ™è_Ÿè»",sore min siang paket shopeee cuman status dishopeeenya berubah satunya berubah dibantu,in,0,0,doysaa,,,jntexpressid,@.@,
1.40001E+18,Wed Jun 02 08:50:22 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@ndrjs_ halo ka, mohon cek DM dari kami ya ka, terima kasih :)",halo kakak mohon cek dm kakak terima kasih,in,0,0,jntexpressid,,,ndrjs_,Indonesia,
1.40001E+18,Wed Jun 02 08:40:37 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@jntexpressid Tolong dong mau nnya paket saya udah sampe mana JP0433094812 ko di shopee udah mau di antar ke penerima balik lagi paket masih di janto https://t.co/ohRmn2EoVS,nnya paket jp ko shopee penerima paket janto,in,0,0,alfiaholshop,FALSE,,jntexpressid,,
1.40001E+18,Wed Jun 02 08:33:37 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@jntexpressid JP3280382875Ka mohon bantuannya",jp kakak mohon bantuannya,in,0,0,rizki_rindi,,,jntexpressid,"Tangerang,banten",
1.40001E+18,Wed Jun 02 08:32:57 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@jntexpressid @mamawshark Halo kak. Saya belum terima ini paket. Tapi kok status nya udh diterima ya, help plis https://t.co/v6AEcWpYH3",halo kak terima paket status nya diterima help plis,in,0,0,kikiiriski,FALSE,,"jntexpressid, mamawshark","DKI Jakarta, Indonesia",
1.40001E+18,Wed Jun 02 08:28:16 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@jntexpressid tolong f/u pesanan sy no resi JP9308731260. Toko sdh buka tp paketan belum dikirim lagi,f pesanan resi jp toko sdh buka paketan dikirim,in,0,0,hydhea,,,jntexpressid,"Toronto, CANADA",
